state	min	max	median	shifts	jumps	jumpvar	SE	root	lnL	lnLp	qlnL.p	qlnL.h
460000	0.013	0.800	0.013	1	0	0.000	0.002	0.045	128.61	-2766.00	-0.10	0.00
465000	0.011	0.717	0.011	1	0	0.000	0.000	0.111	129.39	-2765.99	0.03	0.69
470000	0.011	0.766	0.011	1	0	0.000	0.001	-0.098	130.61	-2766.00	0.00	-6.43
475000	0.011	1.125	0.011	1	0	0.000	0.002	0.027	128.70	-2766.01	0.00	-6.74
480000	0.011	0.534	0.012	2	0	0.000	0.000	-0.157	130.06	-2767.04	-0.02	0.00
485000	0.010	0.771	0.010	1	0	0.000	0.001	-0.140	130.21	-2765.99	-0.00	0.00
490000	0.013	0.855	0.013	1	0	0.000	0.000	-0.092	130.03	-2766.00	-0.02	-0.69
495000	0.010	1.478	0.010	1	0	0.000	0.005	-0.164	125.74	-2766.03	0.00	0.00
500000	0.010	1.248	0.010	1	0	0.000	0.000	0.159	125.13	-2766.02	0.00	-6.90
505000	0.011	0.723	0.011	1	0	0.000	0.003	-0.141	129.65	-2765.99	-0.12	0.00
510000	0.012	0.870	0.012	1	0	0.000	0.008	0.048	127.47	-2766.00	0.00	-6.68
515000	0.010	0.700	0.010	1	0	0.000	0.010	-0.157	127.58	-2765.99	-0.13	0.00
520000	0.010	0.759	0.010	1	0	0.000	0.003	-0.009	129.97	-2765.99	-0.01	-0.69
525000	0.011	1.565	0.011	1	0	0.000	0.002	0.022	126.76	-2766.03	0.00	-6.76
530000	0.008	188.964	0.008	2	0	0.000	0.006	-0.059	124.64	-2767.23	-0.01	-0.69
535000	0.011	0.758	0.011	1	0	0.000	0.001	-0.191	129.98	-2765.99	0.00	-6.78
540000	0.013	0.765	0.013	1	0	0.000	0.010	-0.063	126.62	-2766.00	-0.22	0.00
545000	0.011	0.709	0.011	1	0	0.000	0.005	-0.180	128.69	-2765.99	-0.01	-0.69
550000	0.011	0.698	0.011	1	0	0.000	0.013	0.025	127.04	-2765.99	-0.00	0.00
555000	0.011	0.645	0.011	1	0	0.000	0.001	-0.039	130.83	-2765.99	0.02	0.00
560000	0.011	0.473	0.011	1	0	0.000	0.000	-0.021	130.22	-2765.98	0.02	0.00
565000	0.010	0.955	0.010	1	0	0.000	0.001	-0.049	130.22	-2766.00	0.00	-6.82
570000	0.012	0.541	0.012	1	0	0.000	0.000	-0.005	130.06	-2765.98	0.00	-6.64
575000	0.011	0.621	0.011	2	0	0.000	0.003	-0.179	129.89	-2767.05	-0.15	0.00
580000	0.010	0.995	0.010	1	0	0.000	0.000	-0.277	127.05	-2766.01	-0.24	0.00
585000	0.011	0.895	0.011	1	0	0.000	0.006	-0.022	128.92	-2766.00	-0.16	0.00
590000	0.011	24.681	0.011	2	0	0.000	0.018	-0.076	125.53	-2767.08	-0.01	-0.69
595000	0.011	73.323	0.011	2	0	0.000	0.000	-0.104	130.36	-2767.12	-0.18	0.00
600000	0.011	0.862	0.011	1	0	0.000	0.002	-0.018	130.14	-2766.00	0.01	0.69
605000	0.011	0.639	0.011	1	0	0.000	0.013	0.049	126.70	-2765.99	0.00	-6.75
610000	0.010	26.195	0.010	2	0	0.000	0.003	-0.025	126.70	-2767.11	-0.00	0.00
615000	0.008	1.314	0.008	1	0	0.000	0.002	0.110	122.70	-2766.02	0.00	-7.04
620000	0.011	0.719	0.011	1	0	0.000	0.006	-0.067	129.33	-2765.99	0.00	0.00
625000	0.011	0.794	0.011	1	0	0.000	0.006	0.036	128.61	-2766.00	0.00	0.00
630000	0.011	0.635	0.011	1	0	0.000	0.013	0.041	126.76	-2765.99	0.00	-6.78
635000	0.012	0.536	0.012	1	0	0.000	0.003	-0.053	129.54	-2765.98	0.00	-6.68
640000	0.009	0.664	0.009	1	0	0.000	0.004	0.021	127.99	-2765.99	-0.00	0.02
645000	0.013	0.656	0.013	1	0	0.000	0.002	-0.083	128.87	-2765.99	-0.00	0.13
650000	0.011	0.597	0.011	1	0	0.000	0.002	0.030	130.05	-2765.99	0.00	0.69
655000	0.012	0.950	0.012	1	0	0.000	0.000	-0.137	129.76	-2766.00	-0.02	-0.69
