state	min	max	median	shifts	jumps	jumpvar	SE	root	lnL	lnLp	qlnL.p	qlnL.h
21000	0.000	0.000	0.000	0	1	106.487	1.404	1.820	-33.70	-279.76	0.80	0.00
21100	0.000	0.000	0.000	0	2	131.433	1.415	2.460	-35.52	-280.63	-0.54	0.00
21200	0.000	0.000	0.000	0	1	105.659	0.985	2.415	-33.36	-279.75	0.00	0.00
21300	0.000	0.000	0.000	0	2	82.229	1.339	2.418	-34.52	-280.48	0.00	0.00
21400	0.000	0.000	0.000	0	1	223.023	1.313	1.795	-32.92	-279.99	0.00	-142.00
21500	0.000	0.000	0.000	0	1	585.731	1.245	2.151	-32.31	-280.72	0.00	0.00
21600	0.000	0.000	0.000	0	1	479.177	1.751	1.934	-35.48	-280.50	0.00	0.00
21700	0.000	0.000	0.000	0	1	880.254	0.996	2.021	-31.91	-281.30	-0.00	0.00
21800	0.000	0.000	0.000	0	1	656.942	1.113	2.082	-31.85	-280.86	1.41	0.00
21900	0.000	0.000	0.000	0	1	762.395	1.113	1.836	-32.26	-281.07	1.51	0.00
22000	0.000	0.000	0.000	0	1	1690.721	1.358	1.667	-33.97	-282.93	0.00	-143.13
22100	0.000	0.000	0.000	0	1	1095.238	1.606	1.327	-36.46	-281.73	0.00	0.00
22200	0.000	0.000	0.000	0	2	1130.927	2.035	1.518	-39.85	-283.63	0.00	0.00
22300	0.000	0.000	0.000	0	1	645.699	1.737	1.244	-37.29	-280.84	0.00	-144.71
22400	0.000	0.000	0.000	0	1	414.572	1.091	1.442	-34.52	-280.37	0.00	0.00
22500	0.000	0.000	0.000	0	3	287.507	0.843	1.442	-32.35	-281.79	-0.58	0.00
22600	0.000	0.000	0.000	0	1	153.062	1.039	1.711	-32.80	-279.85	0.00	0.00
22700	0.000	0.000	0.000	0	1	85.015	0.886	2.032	-32.96	-279.71	0.00	0.00
22800	0.000	0.000	0.000	0	3	156.973	0.900	1.265	-38.88	-281.27	0.00	0.00
22900	0.000	0.000	0.000	0	2	89.458	1.354	1.768	-34.28	-280.51	-0.78	0.00
23000	0.000	0.000	0.000	0	1	100.600	1.362	2.303	-33.66	-279.74	0.79	0.00
23100	0.000	0.000	0.000	0	1	190.058	1.362	2.303	-33.20	-279.92	0.00	0.00
23200	0.000	0.000	0.000	0	2	249.964	0.901	2.303	-33.44	-280.99	0.00	0.00
23300	0.000	0.000	0.000	0	2	915.355	1.128	2.783	-37.39	-282.98	0.00	0.00
23400	0.000	0.000	0.000	0	1	361.583	1.128	2.783	-35.22	-280.27	1.11	0.00
23500	0.000	0.000	0.000	0	1	539.733	1.073	2.460	-32.86	-280.62	0.00	0.00
23600	0.000	0.000	0.000	0	1	1281.554	1.328	2.150	-32.96	-282.11	0.00	-0.29
23700	0.000	0.000	0.000	0	1	950.955	0.924	2.095	-32.17	-281.45	0.00	0.00
23800	0.000	0.000	0.000	0	2	775.063	0.896	2.184	-33.45	-282.56	-1.18	0.00
23900	0.000	0.000	0.000	0	1	851.048	1.169	1.765	-32.66	-281.25	0.00	0.00
24000	0.000	0.000	0.000	0	1	722.276	1.425	2.023	-33.33	-280.99	-1.42	0.00
24100	0.000	0.000	0.000	0	1	612.750	1.248	2.590	-33.79	-280.77	0.44	-0.31
24200	0.000	0.000	0.000	0	1	565.528	1.308	1.831	-32.86	-280.67	0.00	0.00
24300	0.000	0.000	0.000	0	1	509.590	1.308	2.305	-32.84	-280.56	0.00	0.00
24400	0.000	0.000	0.000	0	1	288.734	1.230	2.340	-32.58	-280.12	0.00	-161.05
24500	0.000	0.000	0.000	0	2	472.286	1.251	2.377	-35.16	-281.65	0.00	-159.86
24600	0.000	0.000	0.000	0	1	461.488	1.159	2.377	-32.50	-280.47	0.00	-159.88
24700	0.000	0.000	0.000	0	1	777.681	0.973	1.915	-32.13	-281.10	0.00	0.00
24800	0.000	0.000	0.000	0	1	661.017	1.176	2.302	-32.36	-280.87	0.00	0.00
24900	0.000	0.000	0.000	0	1	1691.000	1.155	2.493	-33.39	-282.93	0.00	0.00
25000	0.000	0.000	0.000	0	1	698.400	1.155	2.493	-33.10	-280.94	1.45	0.00
25100	0.000	0.000	0.000	0	1	420.924	1.191	2.493	-33.08	-280.39	1.17	0.00
25200	0.000	0.000	0.000	0	1	534.747	1.073	2.493	-33.05	-280.61	-0.39	0.45
25300	0.000	0.000	0.000	0	1	428.993	1.073	2.249	-31.94	-280.40	0.00	0.00
25400	0.000	0.000	0.000	0	1	377.971	1.115	2.249	-31.98	-280.30	-0.00	0.00
25500	0.000	0.000	0.000	0	1	205.734	0.890	2.106	-32.28	-279.96	0.00	0.00
25600	0.000	0.000	0.000	0	1	1353.367	0.890	2.106	-32.54	-282.25	0.00	0.00
25700	0.000	0.000	0.000	0	1	937.508	1.264	1.519	-34.12	-281.42	0.00	0.00
25800	0.000	0.000	0.000	0	1	766.474	1.264	1.830	-32.74	-281.08	0.00	0.00
25900	0.000	0.000	0.000	0	1	431.966	0.867	2.002	-32.47	-280.41	0.00	0.00
26000	0.000	0.000	0.000	0	1	300.119	0.987	2.238	-31.98	-280.14	0.00	-164.84
26100	0.000	0.000	0.000	0	1	216.425	1.048	1.781	-32.33	-279.98	0.00	-165.10
26200	0.000	0.000	0.000	0	1	238.364	1.396	1.908	-33.14	-280.02	0.00	-165.45
26300	0.000	0.000	0.000	0	1	179.555	1.315	1.908	-32.76	-279.90	0.00	0.00
26400	0.000	0.000	0.000	0	1	74.727	1.324	1.908	-33.53	-279.69	-0.00	0.00
26500	0.000	0.000	0.000	0	2	70.789	1.472	1.915	-35.44	-280.45	0.00	0.00
26600	0.000	0.000	0.000	0	2	70.968	1.241	2.336	-34.52	-280.45	0.00	0.00
26700	0.000	0.000	0.000	0	1	98.494	1.104	2.240	-32.54	-279.74	-0.79	0.00
26800	0.000	0.000	0.000	0	3	147.263	1.482	1.985	-36.01	-281.23	0.00	-168.54
26900	0.000	0.000	0.000	0	1	415.337	1.194	2.092	-32.01	-280.37	0.00	-167.93
27000	0.000	0.000	0.000	0	1	324.468	1.731	1.502	-36.12	-280.19	0.00	-169.01
27100	0.000	0.000	0.000	0	1	560.342	1.731	1.502	-36.21	-280.66	1.31	0.00
27200	0.000	0.000	0.000	0	1	648.008	1.739	1.502	-36.29	-280.84	0.00	0.00
27300	0.000	0.000	0.000	0	1	903.843	1.209	1.502	-34.13	-281.35	0.00	-170.66
27400	0.000	0.000	0.000	0	1	905.031	1.373	1.502	-34.53	-281.35	1.65	0.00
27500	0.000	0.000	0.000	0	1	768.828	1.581	1.875	-34.48	-281.08	0.00	0.00
27600	0.000	0.000	0.000	0	1	653.435	1.096	1.667	-32.97	-280.85	0.00	-177.26
27700	0.000	0.000	0.000	0	1	653.668	1.006	2.279	-32.15	-280.85	0.00	-178.15
27800	0.000	0.000	0.000	0	1	510.734	1.082	1.840	-32.12	-280.57	0.00	0.00
27900	0.000	0.000	0.000	0	1	1324.658	1.032	2.002	-32.03	-282.19	0.00	0.00
28000	0.000	0.000	0.000	0	1	769.809	0.755	1.997	-34.35	-281.08	0.00	0.00
28100	0.000	0.000	0.000	0	1	886.391	1.069	1.997	-31.90	-281.32	0.00	0.00
28200	0.000	0.000	0.000	0	1	567.180	1.107	1.997	-31.84	-280.68	-1.26	0.00
28300	0.000	0.000	0.000	0	1	346.472	1.107	1.997	-31.77	-280.24	0.00	0.00
28400	0.000	0.000	0.000	0	2	170.551	0.984	1.997	-32.78	-280.75	-0.00	0.00
28500	0.000	0.000	0.000	0	1	134.171	1.064	1.702	-32.87	-279.81	0.00	0.00
28600	0.000	0.000	0.000	0	1	332.062	1.370	1.542	-34.08	-280.21	0.00	-183.75
28700	0.000	0.000	0.000	0	1	692.633	1.186	2.182	-32.15	-280.93	0.00	0.00
28800	0.000	0.000	0.000	0	1	225.055	0.890	2.182	-32.37	-279.99	0.97	0.00
28900	0.000	0.000	0.000	0	1	604.656	1.171	2.120	-32.00	-280.75	0.00	-187.64
29000	0.000	0.000	0.000	0	1	1278.890	1.257	2.120	-32.58	-282.10	0.00	0.00
29100	0.000	0.000	0.000	0	1	1576.690	0.908	2.206	-32.63	-282.70	-2.27	0.00
29200	0.000	0.000	0.000	0	1	1541.071	1.088	2.135	-32.11	-282.63	0.00	-192.54
29300	0.000	0.000	0.000	0	1	1070.591	1.088	2.135	-31.97	-281.68	0.00	0.00
29400	0.000	0.000	0.000	0	1	1187.023	1.018	2.135	-31.99	-281.92	0.00	-196.28
29500	0.000	0.000	0.000	0	1	1571.899	1.018	2.300	-32.48	-282.69	0.00	-195.76
29600	0.000	0.000	0.000	0	1	372.359	0.889	1.992	-32.27	-280.29	0.00	-0.18
29700	0.000	0.000	0.000	0	2	514.958	1.130	1.855	-34.86	-281.78	0.00	0.00
29800	0.000	0.000	0.000	0	1	646.225	1.130	1.855	-32.19	-280.84	0.00	0.00
29900	0.000	0.000	0.000	0	1	430.298	1.347	1.855	-32.96	-280.40	0.00	0.00
30000	0.000	0.000	0.000	0	2	498.767	1.037	1.783	-32.77	-281.73	0.00	0.00
30100	0.000	0.000	0.000	0	1	214.512	1.487	1.947	-33.68	-279.97	0.00	-203.14
30200	0.000	0.000	0.000	0	1	170.510	1.054	2.017	-31.81	-279.88	-0.86	0.00
30300	0.000	0.000	0.000	0	1	152.852	0.907	1.785	-33.05	-279.85	-0.00	0.00
30400	0.000	0.000	0.000	0	1	167.317	0.907	2.218	-32.46	-279.88	-0.04	0.12
30500	0.000	0.000	0.000	0	1	112.884	0.859	2.218	-33.19	-279.77	0.00	0.00
30600	0.000	0.000	0.000	0	1	343.921	1.133	2.318	-32.22	-280.23	-1.04	0.00
30700	0.000	0.000	0.000	0	1	327.309	1.306	2.502	-33.47	-280.20	-0.00	0.00
30800	0.000	0.000	0.000	0	1	579.055	1.060	2.497	-33.12	-280.70	0.00	0.00
30900	0.000	0.000	0.000	0	1	530.285	0.946	2.497	-33.62	-280.60	0.00	0.00
31000	0.000	0.000	0.000	0	1	501.504	1.062	2.318	-32.18	-280.55	0.00	0.00
31100	0.000	0.000	0.000	0	1	182.623	1.228	2.518	-33.45	-279.91	0.93	0.00
31200	0.000	0.000	0.000	0	1	269.534	1.228	2.518	-33.32	-280.08	0.00	0.00
31300	0.000	0.000	0.000	0	1	155.566	1.356	2.254	-33.16	-279.85	0.00	0.00
31400	0.000	0.000	0.000	0	2	159.520	0.968	2.254	-32.08	-280.72	-0.00	0.00
31500	0.000	0.000	0.000	0	1	190.606	1.239	2.254	-32.48	-279.92	0.00	0.00
31600	0.000	0.000	0.000	0	1	123.008	1.157	1.489	-34.17	-279.79	0.00	0.00
31700	0.000	0.000	0.000	0	1	295.789	1.275	1.489	-34.06	-280.14	0.00	0.00
31800	0.000	0.000	0.000	0	1	255.061	0.971	2.003	-31.82	-280.05	1.00	0.00
31900	0.000	0.000	0.000	0	1	419.972	1.129	1.990	-31.84	-280.38	1.17	0.00
32000	0.000	0.000	0.000	0	2	345.433	0.970	2.055	-32.27	-281.27	0.00	-213.91
32100	0.000	0.000	0.000	0	1	165.803	1.385	1.898	-33.19	-279.88	-0.00	0.46
32200	0.000	0.000	0.000	0	1	434.317	0.936	1.898	-32.21	-280.41	1.18	0.00
32300	0.000	0.000	0.000	0	1	241.588	0.936	1.956	-32.05	-280.03	0.00	0.00
32400	0.000	0.000	0.000	0	1	505.994	1.054	1.956	-31.81	-280.56	0.00	0.00
32500	0.000	0.000	0.000	0	1	491.275	0.989	2.068	-31.76	-280.53	0.00	0.00
32600	0.000	0.000	0.000	0	2	404.088	0.888	1.954	-31.73	-281.45	0.00	-224.75
32700	0.000	0.000	0.000	0	2	177.365	1.142	2.299	-32.75	-280.77	0.00	0.00
32800	0.000	0.000	0.000	0	1	120.554	1.031	1.925	-32.15	-279.78	0.00	0.00
32900	0.000	0.000	0.000	0	1	124.413	0.883	1.925	-32.77	-279.79	0.00	0.00
33000	0.000	0.000	0.000	0	1	241.773	1.221	2.175	-32.20	-280.03	0.00	0.00
33100	0.000	0.000	0.000	0	1	156.591	0.770	2.175	-34.17	-279.86	0.00	-231.48
33200	0.000	0.000	0.000	0	1	84.227	0.965	2.230	-32.83	-279.71	0.00	0.00
33300	0.000	0.000	0.000	0	1	110.404	1.478	2.224	-34.09	-279.76	0.00	0.00
33400	0.000	0.000	0.000	0	3	227.597	0.797	2.183	-34.81	-281.55	0.00	0.00
33500	0.000	0.000	0.000	0	1	443.032	0.797	1.776	-34.50	-280.43	0.00	0.00
33600	0.000	0.000	0.000	0	1	499.844	1.098	2.018	-31.78	-280.54	-0.00	0.00
33700	0.000	0.000	0.000	0	1	694.408	0.943	2.018	-32.01	-280.93	0.00	-238.00
33800	0.000	0.000	0.000	0	1	224.847	1.153	2.456	-32.89	-279.99	-0.92	0.00
33900	0.000	0.000	0.000	0	1	545.991	1.153	2.282	-32.20	-280.64	0.00	0.00
34000	0.000	0.000	0.000	0	1	244.301	1.009	2.282	-32.11	-280.03	0.00	0.00
34100	0.000	0.000	0.000	0	1	265.395	1.020	2.282	-32.07	-280.07	-0.00	0.00
34200	0.000	0.000	0.000	0	1	437.331	1.327	2.002	-32.66	-280.42	-1.13	0.00
34300	0.000	0.000	0.000	0	1	840.630	1.154	2.775	-35.18	-281.22	-1.53	0.00
34400	0.000	0.000	0.000	0	1	511.982	0.921	2.414	-33.20	-280.57	0.00	0.00
34500	0.000	0.000	0.000	0	1	113.342	0.927	2.198	-32.56	-279.77	0.00	0.00
34600	0.000	0.000	0.000	0	1	137.936	1.255	1.995	-32.51	-279.82	0.00	0.00
34700	0.000	0.000	0.000	0	1	174.413	1.044	2.341	-32.41	-279.89	0.00	0.00
34800	0.000	0.000	0.000	0	1	98.096	0.814	2.341	-34.63	-279.74	0.00	0.00
34900	0.000	0.000	0.000	0	1	145.339	0.814	2.016	-33.29	-279.83	0.00	0.00
35000	0.000	0.000	0.000	0	1	149.219	0.846	1.910	-33.10	-279.84	0.00	0.00
35100	0.000	0.000	0.000	0	1	157.228	0.984	1.910	-32.10	-279.86	-0.00	0.00
35200	0.000	0.000	0.000	0	2	56.291	1.317	2.362	-35.99	-280.41	0.00	0.00
35300	0.000	0.000	0.000	0	5	50.148	1.317	1.665	-36.62	-281.45	0.27	0.00
35400	0.000	0.000	0.000	0	1	80.160	1.109	1.035	-39.49	-279.70	-0.00	0.00
35500	0.000	0.000	0.000	0	4	106.489	0.917	1.500	-34.67	-281.46	0.00	-251.19
35600	0.000	0.000	0.000	0	1	98.217	1.318	2.301	-33.46	-279.74	-0.79	0.00
35700	0.000	0.000	0.000	0	1	220.877	1.272	1.461	-34.24	-279.99	0.00	0.00
35800	0.000	0.000	0.000	0	1	168.935	1.005	2.164	-31.92	-279.88	0.00	0.00
35900	0.000	0.000	0.000	0	3	93.596	1.437	2.164	-36.99	-281.02	0.17	-0.38
36000	0.000	0.000	0.000	0	1	85.419	1.239	2.000	-32.88	-279.71	0.00	0.00
36100	0.000	0.000	0.000	0	2	88.406	1.239	2.134	-33.67	-280.50	0.00	0.00
36200	0.000	0.000	0.000	0	1	103.235	1.107	1.726	-32.93	-279.75	0.00	-262.19
36300	0.000	0.000	0.000	0	2	202.125	0.878	1.726	-34.11	-280.84	0.00	-265.16
36400	0.000	0.000	0.000	0	1	538.896	1.304	2.003	-32.57	-280.62	1.29	0.00
36500	0.000	0.000	0.000	0	1	538.570	0.821	1.975	-33.11	-280.62	0.00	0.00
36600	0.000	0.000	0.000	0	2	577.366	1.003	1.975	-32.05	-281.97	0.00	0.00
36700	0.000	0.000	0.000	0	1	740.441	0.959	2.167	-32.02	-281.02	0.00	0.00
36800	0.000	0.000	0.000	0	1	697.526	0.886	1.771	-33.32	-280.94	1.45	0.00
36900	0.000	0.000	0.000	0	1	764.796	0.886	1.572	-35.08	-281.07	0.00	0.00
37000	0.000	0.000	0.000	0	1	505.005	0.886	2.274	-32.71	-280.55	0.00	-272.43
37100	0.000	0.000	0.000	0	2	396.186	0.959	2.274	-34.34	-281.43	0.00	-274.63
37200	0.000	0.000	0.000	0	1	293.790	1.363	2.274	-33.04	-280.13	-0.00	0.00
37300	0.000	0.000	0.000	0	1	309.116	1.289	2.550	-33.64	-280.16	-1.00	0.00
37400	0.000	0.000	0.000	0	1	518.080	0.818	1.793	-34.02	-280.58	0.00	0.00
37500	0.000	0.000	0.000	0	1	596.957	1.052	1.793	-32.34	-280.74	0.00	0.00
37600	0.000	0.000	0.000	0	1	633.154	1.217	1.793	-32.61	-280.81	-0.00	0.00
37700	0.000	0.000	0.000	0	1	573.817	1.526	2.260	-34.06	-280.69	0.00	-282.97
37800	0.000	0.000	0.000	0	1	1437.395	1.010	1.861	-32.42	-282.42	-0.00	0.00
37900	0.000	0.000	0.000	0	1	996.902	0.953	2.019	-32.08	-281.54	-0.65	0.40
38000	0.000	0.000	0.000	0	1	309.107	1.500	2.412	-34.16	-280.16	0.00	0.00
38100	0.000	0.000	0.000	0	1	447.612	0.967	2.412	-32.86	-280.44	0.00	0.00
38200	0.000	0.000	0.000	0	1	233.394	0.981	2.418	-32.88	-280.01	0.16	-0.43
38300	0.000	0.000	0.000	0	1	439.883	1.211	2.257	-32.29	-280.42	0.00	0.00
38400	0.000	0.000	0.000	0	1	289.465	1.211	2.297	-32.38	-280.12	0.00	0.00
38500	0.000	0.000	0.000	0	1	375.766	1.211	1.990	-32.10	-280.30	-1.07	0.00
38600	0.000	0.000	0.000	0	1	469.360	1.040	2.016	-31.72	-280.48	0.00	0.00
38700	0.000	0.000	0.000	0	1	299.929	0.939	2.016	-31.91	-280.14	0.00	0.00
38800	0.000	0.000	0.000	0	1	147.923	0.928	2.126	-32.19	-279.84	0.04	-0.16
38900	0.000	0.000	0.000	0	1	76.792	0.836	2.126	-33.69	-279.70	0.00	-287.90
39000	0.000	0.000	0.000	0	1	60.077	1.123	1.900	-33.15	-279.66	0.00	-286.73
39100	0.000	0.000	0.000	0	2	240.990	0.960	2.045	-32.74	-280.96	0.93	0.00
39200	0.000	0.000	0.000	0	1	375.569	1.061	1.905	-31.88	-280.29	0.00	0.00
39300	0.000	0.000	0.000	0	4	296.438	0.677	1.905	-33.90	-282.41	0.00	-291.67
39400	0.000	0.000	0.000	0	2	114.833	0.904	2.280	-33.33	-280.58	0.00	0.00
39500	0.000	0.000	0.000	0	1	86.709	0.895	2.280	-33.42	-279.72	-0.00	0.00
39600	0.000	0.000	0.000	0	1	121.806	1.028	1.831	-32.41	-279.79	0.00	0.00
39700	0.000	0.000	0.000	0	1	219.867	1.206	2.218	-32.23	-279.98	-0.03	0.07
39800	0.000	0.000	0.000	0	1	431.684	1.154	1.926	-32.00	-280.41	0.00	-296.78
39900	0.000	0.000	0.000	0	1	288.623	1.154	1.548	-33.56	-280.12	0.00	0.00
40000	0.000	0.000	0.000	0	1	307.117	1.002	1.707	-32.80	-280.16	1.06	0.00
40100	0.000	0.000	0.000	0	1	409.874	1.251	2.114	-32.26	-280.36	0.00	0.00
40200	0.000	0.000	0.000	0	1	241.956	1.044	1.917	-31.86	-280.03	-0.94	0.00
40300	0.000	0.000	0.000	0	1	273.419	1.375	2.423	-33.50	-280.09	0.00	0.00
40400	0.000	0.000	0.000	0	1	222.837	1.207	2.331	-32.52	-279.99	0.00	0.00
40500	0.000	0.000	0.000	0	1	742.508	0.978	1.618	-33.71	-281.03	1.49	0.00
40600	0.000	0.000	0.000	0	1	1112.697	1.205	1.800	-32.73	-281.77	0.00	0.00
40700	0.000	0.000	0.000	0	1	453.111	1.148	1.567	-33.48	-280.45	0.00	-309.85
40800	0.000	0.000	0.000	0	1	526.980	1.242	2.381	-32.78	-280.60	0.00	0.00
40900	0.000	0.000	0.000	0	1	769.550	1.117	2.381	-32.55	-281.08	0.00	0.00
41000	0.000	0.000	0.000	0	1	739.786	1.020	2.381	-32.59	-281.02	-1.43	0.00
41100	0.000	0.000	0.000	0	1	2949.842	1.020	2.182	-32.42	-285.44	3.70	0.00
41200	0.000	0.000	0.000	0	1	501.373	1.040	2.501	-33.17	-280.55	-1.19	0.00
41300	0.000	0.000	0.000	0	1	1028.852	1.399	3.019	-37.18	-281.60	-1.72	0.00
41400	0.000	0.000	0.000	0	1	560.226	1.359	1.948	-32.93	-280.66	0.00	0.00
41500	0.000	0.000	0.000	0	1	530.081	1.043	1.681	-32.91	-280.60	-0.00	0.00
41600	0.000	0.000	0.000	0	2	451.022	1.053	1.628	-33.30	-281.59	0.00	0.00
41700	0.000	0.000	0.000	0	1	231.301	1.074	1.628	-33.11	-280.01	0.00	0.00
41800	0.000	0.000	0.000	0	3	89.938	1.319	2.161	-34.57	-281.00	-0.00	0.00
41900	0.000	0.000	0.000	0	1	124.938	1.345	2.161	-33.10	-279.79	0.00	0.00
42000	0.000	0.000	0.000	0	1	155.994	1.064	2.285	-32.24	-279.86	0.00	-316.12
42100	0.000	0.000	0.000	0	1	127.866	1.079	1.887	-32.19	-279.80	0.88	0.00
42200	0.000	0.000	0.000	0	1	212.264	1.077	2.282	-32.10	-279.97	0.13	-0.37
42300	0.000	0.000	0.000	0	1	192.976	1.076	2.282	-32.13	-279.93	0.14	-0.46
42400	0.000	0.000	0.000	0	1	238.817	1.318	2.282	-32.85	-280.02	0.00	-321.13
42500	0.000	0.000	0.000	0	1	92.766	1.050	2.495	-33.85	-279.73	0.00	-320.08
42600	0.000	0.000	0.000	0	1	96.079	1.184	2.495	-33.79	-279.74	0.00	0.00
42700	0.000	0.000	0.000	0	3	80.565	1.169	2.141	-36.50	-280.96	0.00	-321.00
42800	0.000	0.000	0.000	0	1	402.779	1.169	1.641	-33.04	-280.35	-0.06	0.08
